keyword,clicks,impressions,rank,ctr,language_code,language_name
video.twimg.com 페이지를 찾을 수 없음,1,19,8.32,5.26,en,English
twitter down video,0,59,8.85,0.0,en,English
dowon twitter,0,48,8.5,0.0,en,English
tweet down,0,13,7.85,0.0,en,English
twittervideodown.com,0,12,6.92,0.0,en,English
트위터 다운 100,0,12,8.5,0.0,ko,Korean
